Product Name,Price
Nike Dunk Low Retro,$115
Nike Dunk Low,$115
"Air Jordan 1 High OG ""Royal Reimagined""",$180
Air Jordan Legacy 312 Low,$123.97
"Air Jordan 1 Low OG ""White/Red""",$140
Nike Blazer Phantom Mid,$150
Nike Zoom Vomero 5,$160
"Sabrina 1 ""West Coast Roots""",$130
Nike Vaporfly 3,$260
Nike Air Max 2017,$190
Nike P-6000,$110
Jordan Stay Loyal 3,$115
Jordan Jumpman Pro,$145
Nike Dunk High Retro SE,$119.97
Nike Air More Uptempo '96,$153.97
"Nike Air Trainer 1 ""College Football Playoff""",$140
Nike Air Max AP,$105
Nike M2K Tekno,$120
"Air Jordan XXXVIII ""Aqua""",$200
"KD16 ""B.A.D.""",$160
"Air Jordan 13 ""Wheat""",$200
"Air Jordan 8 ""Winterized""",$210
"Air Jordan 3 ""Fear""",$210
"Air Jordan 4 Craft ""Olive""",$210
Nike Air Force 1 '07,$125
Nike Blazer Mid '77,$93.97
Nike Dunk Low Retro Premium,$120
Tiger Woods '13,$250
Nike Air Max 270,$160
Nike Air Alpha Force 88,$140
Nike Air Flight Huarache,$93.97
Nike Air Penny 2 x Stüssy,$200
"Zion 3 ""Gen Zion""",$140
"Luka 2 ""Caves""",$130
Air Jordan 1 Mid,$125
Air Jordan 1 Zoom CMFT 2,$127.97
Nike Dunk Low Retro,$97.97
Nike Metcon 9 AMP,$160
Nike Air Max 1 Premium,$136.97
Nike Air Max 1,$105.97
Air Jordan 1 Mid SE,$135
Air Jordan 1 Low SE,$125
"LeBron XXI ""Abalone""",$150.97
LeBron NXXT Gen,$144.97
Nike Pegasus 40,$130
Nike Invincible 3,$180
Nike Full Force Low,$95
Nike Air Max 1 SC,$150
Nike Air Force 1 '07,$91.97
Nike Air Max 2013,$180
Nike Air Max Pulse Roam,$170
Nike Killshot 2 Leather,$90
Nike G.T. Cut 2 GTE,$153.97
Nike G.T. Hustle 2,$170
Nike G.T. Jump 2,$180
Freak 5,$105.97
Giannis Immortality 3,$76.97
Nike InfinityRN 4 GORE-TEX,$180
Nike InfinityRN 4,$160
Nike Air Max Penny,$153.97
Nike Air Max 90 GORE-TEX,$160
Nike Pegasus Trail 4 GORE-TEX,$160
Nike Vomero 17,$160
Nike Air VaporMax 2023 Flyknit,$210
Nike Air VaporMax Plus,$210
Nike Air Max 90,$130
Jordan Retro 6 G NRG,$230
Air Jordan 1 Low G NRG,$170
Air Jordan 1 High G NRG,$210
Nike Air Max Pulse,$150
"Air Jordan 2 ""Origins""",$175
Air Jordan 1 Low,$115
Nike Dunk Low Retro Premium,$125
Air Jordan 5 Retro,$200
Nike Air Force 1 '07 LX,$135
Nike Dunk High Retro,$106.97
Air Jordan 1 Mid SE,$114.97
Air Jordan 5 x A Ma Maniére,$225
Nike Air Max 97,$175
Nike Air Max Plus,$157.97
Jordan Winterized 6 Rings,$157.97
"Air Jordan 14 ""Black/White""",$200
Nike Cortez,$67.97
Air Jordan I High G,$180
Jordan Stadium 90,$140
Air Jordan 1 Mid SE,$107.97
Nike Court Legacy,$70
Jumpman Two Trey,$116.97
Nike Air Max 90,$110.97
